"Band Name, Location, Start Time, End Time"
Kitestring,"706 N Cayuga St, Ithaca, NY 14850","08:30 AM","09:30 AM"
"Jeannie Burns ","116 Cascadilla Ave, Ithaca, NY 14850","08:30 AM","09:30 AM"
"Tyrannical Vegetable","720 N Aurora St, Ithaca, NY 14850","08:30 AM","09:30 AM"
"Third Story Band","210 Utica St, Ithaca, NY 14850","08:30 AM","09:30 AM"
"Auntie Emo's Ukulele Showcase","204 W Yates St, Ithaca, NY 14850","08:30 AM","09:30 AM"
"The Uncommons","702 N Aurora St, Ithaca, NY 14850","08:30 AM","09:30 AM"
"Acoustic Rust","612 N Cayuga St, Ithaca, NY 14850","08:30 AM","09:30 AM"
"Noon Fifteen","607 N Aurora St, Ithaca, NY 14850","08:30 AM","09:30 AM"
"The 18 Strings Of Luv","105 King St, Ithaca, NY 14850","08:30 AM","09:30 AM"
"Mad Cow Tippers","1301 N Cayuga St, Ithaca, NY 14850","08:30 AM","09:30 AM"
Nightswimmers,"617 N Cayuga St, Ithaca, NY 14850","08:30 AM","09:30 AM"
"ithaca Free concerts ","611 N Cayuga St, Ithaca, NY 14850","08:30 AM","09:30 AM"
"Thaelo ","502 Linn St, Ithaca, NY 14850","08:30 AM","09:30 AM"
"Anna O'Connell","206 E Jay St, Ithaca, NY 14850","08:30 AM","09:30 AM"
"Sadie Frederick","412 N Aurora St, Ithaca, NY 14850","08:30 AM","09:30 AM"
"Dickie Starfish Allstars","406 E Marshall St, Ithaca, NY 14850","08:30 AM","09:30 AM"
"NEO Project","104 Adams St, Ithaca, NY 14850","08:30 AM","09:30 AM"
"Robot Detective and friends","427 N Cayuga St, Ithaca, NY 14850","08:30 AM","09:30 AM"
"Second Street String Band","202 2nd St, Ithaca, NY 14850","08:30 AM","09:30 AM"
"Sunny Weather ","507 Utica St, Ithaca, NY 14850","08:30 AM","09:30 AM"
"Brookton Bridge","711 N Tioga St, Ithaca, NY 14850","08:30 AM","09:30 AM"
"Janet Batch","909 N Cayuga St, Ithaca, NY 14850","08:30 AM","09:30 AM"
"Suite 107","216 Cascadilla St, Ithaca, NY 14850","08:30 AM","09:30 AM"
