BandID,Name,Description,Members,Comment,Conflicts
1,Stone Cold Miracle,Original soul music featuring sensational singer Trece Stevenson.,random,random,"Mosaic Foundation, WonderMonday"
2,David Graybeard Band,"100% original, blues, roots and Americana music.",random,random,
3,Kitestring,"Kitestring is a lovable, alternative-folk quartet, sporting a tank-top or two.",random,random,Big Upstate
4,Tim Bang,Tim Bang is a singer songwriter playing folk  music,random,random,
5,Richie Holtz & friends,Richie Holtz & friends play sing-able folk-rock,random,random,Rich Recchia
6,CUMEME (Cornell University Middle Eastern Music Ensemble),Middle Eastern music plus belly dancers ers,random,random,
7,Jeannie Burns ,Singer Songwriter,random,random,
8,The Local Farmers Union,The Local Farmers Union - Farmer-folk Jam Funkgrass.,random,random,
9,Bethel Grove,Bethel Grove is an inspirational folk/pop band,random,random,
10,Circus Culture,we would like to do circus performance on the porch! We will have musician friends accompany.,random,random,"Travis Knapp, Viva Mayhem, Nate Marshall"
11,Tyrannical Vegetable,Tyrannical Vegetable is a goofy garage band.,random,random,
12,Tryin' Joe and The Mad Scientist,"""Electro-acoustic original songs and improv""",random,random,
13,Glacial Erotics,"glacial erotics, original rock, shaken not stirred",random,random,
14,WonderMonday,WonderMonday is a original artpoprock trio.,random,random,"Black is Green, Stone Cold Miracle"
15,El Caminos ,El Caminos play a dangerously danceable mix of Americana and Alt-Country,random,random,Purple Valley
16,The Pelotones,"The Pelotones are a four-piece band that plays original swing-jazz, R&B, blues, and country.",random,random,
17,Third Story Band,Third Story Band is a classic rock cover band,random,random,
18,CrownCityBrass,Crown City Brass is a non traditional group that plays music from Baroque to Jazz.,random,random,"Jazz Happens Band, Ageless Jazz Band"
19,wild sounds,I make wild sounds,random,random,
20,Stan Stewart,Stan Stewart is highlighting his folk stylings with a set of new singer-songwriter tracks.,random,random,
21,The Purple Valley,The Purple Valley plays dancing music!,random,random,"El Caminos, IthaCats"
22,Five2,"A striking female vocal trio, Five2 captivates listeners with lush three-part harmonies and poignant songwriting. With Uniit Carruyo, Charisse Lucente, Yvette Lucente, Brian Dozoretz, and Dana Billings",random,random,
23,Insolent Cur,Acoustic Americana and acoustic covers,random,random,
24,Grassanova,"Bluegrass, Newgrass, and Whoknowswhatgrass!",random,random,
25,The Wolf Tones,Sly pop/folk duo sing original tunes with harmonies.,random,random,
26,GoGone,"GoGone plays original roots, rock & blues",random,random,
27,Jon Kaplan and Dexter Kozen,Acoustic guitar/vocal duo,random,random,
28,Professor Tuesday's Jazz Quartet,"Professor Tuesday's Jazz Quartet plays fun, mainstream jazz.",random,random,
29,Ella Sarachan,Ella Sarachan sings jazz standards backed by Professor Tuesday's Jazz Quartet,random,random,
30,Auntie Emo's Ukulele Showcase,"The little ukulele climbs every mountain, fords every stream, exalts every valley.",random,random,"Jazz Happens, Brass Quintet"
31,Auntie Emo's Ukulele Workshop,"Learn ""Over the Rainbow""; accompany dancers of the hula",random,random,
32,Ithaca Gay Men's Chorus,men's chorus,random,random,
33,JazzHappensBand,JazzHappens Band is a 7-piece traditional jazz band,random,random,"Ageless Jazz Band, Crown City Brass"
34,Mathew Roth,Instrumental Piano & Violin Loops,random,random,
35,Ageless Jazz Band,The Ageless Jazz Band is a 17-piece big band jazz ensemble,random,random,"Jazz Happens Band, Crown City Bass"
36,Kats 'N' Janmmers,Old Celtic tunes and singalong songs.,random,random,"Blue Grass Band, IthaCats"
37,Laura J. Peters,Laura J. Peters is an acoustic singer-songwriter partial to soulful storytelling songs and people who like to listen to them.,random,random,
38,Cornell Ukulele Club,The Cornell Ukulele Club is a group of Cornell students who play a variety of music genres using ukuleles and percussion instruments.,random,random,
39,The Darts,The Darts are a 5-piece alt rock band,random,random,"Yardvarks, Radio London"
40,Grey Wolf Jam,Grey Wolf Howls Raucous Oldies,random,random,
41,Dr. K,Solo guitar with attitude.  ,random,random,Wonder Monday
42,LC Jones,"Folk Punk preformance, lyric heavy, folksy and melodic",random,random,
43,The Uncommons,The Uncommons performs original & classic rock/jazz-rock/blues-rock/metamorphic rock! ;),random,random,"Darkwine, Teencat"
44,The Immortal Jellyfish,An ageless band playing timeless tunes,random,random,"Cat's Elbow
"
45,Thru Spectrums,Original 7-piece funk-rock,random,random,"Julia Felice and the Whiskey Crisis, Fall Creek Brass Band"
46,Acoustic Rust,Tightly blended harmonies and songs that will never fade away. ,random,random,
47,danny speer & shuffle-tut,danny's songs. jazz-blues-pop,random,random,Misses Bitches
48,Fall Creek Brass Band,New-Orleans style brass band brings the funk and the fun to the streets of Ithaca.,random,random,"Jeff Love Band, Remstar, Mosaic Foundation, Road Man, Noon-Fifteen, Thru Spectrums, The Accidentals"
49,Rich Recchia and one friend,Rich Recchia is a vocalist/guitarist/percussionist/ukulele player who plays outer and innerspace music.,random,random,Richie Holtz
50,Noon Fifteen,Noon Fifteen is a soulful psychedelic pop/rock band,random,random,"Fall Creek Brass Band, Julia Felice and the Whiskey Crisis"
51,Doug Robertson,Doug Robertson is an acoustic guitar enthusiast ,random,random,
52,The 18 Strings Of Luv," Click here for information about restrooms.  The 18 Strings of Luv is Jan Nigro, John Simon and Ken Zeserson playing Beatles, Byrds and other critters from the 60’s with shimmering harmonies over a bed of interweaving acous Click here for information about restrooms.  The 18 Strings of Luv is Jan Nigro, John Simon and Ken Zeserson playing Beatles, Byrds and other critters from the 60’s with shimmering harmonies over a bed of interweaving acoustic guitars.",random,random,
53,Burns And Kristy Band,"Fun original material, rich vocals, lotsa fun.",random,random,Rockwood Ferry
