BandID,TimeslotID
1,1
1,2
1,3
1,4
1,5
1,6
2,1
2,2
2,3
2,4
3,3
3,4
3,5
4,1
4,2
4,3
4,4
4,5
4,6
5,3
5,4
5,5
6,1
6,2
6,3
6,4
7,5
8,4
8,5
9,4
9,5
9,6
10,1
10,2
10,3
10,4
10,5
10,6
11,4
11,5
12,1
12,2
12,3
12,4
12,5
12,6
13,1
13,2
13,3
14,2
15,1
15,2
15,3
16,1
16,2
16,3
16,4
16,5
16,6
17,5
17,6
18,1
19,1
19,2
19,3
19,4
19,5
19,6
20,1
20,2
20,3
20,4
20,5
21,1
21,2
21,3
21,4
21,5
21,6
22,2
22,3
22,4
23,2
23,3
23,4
24,1
24,2
24,3
25,2
25,3
25,4
25,5
26,4
26,5
26,6
27,1
27,2
28,1
29,2
30,1
30,2
30,3
30,4
30,5
30,6
31,1
31,2
31,3
31,4
31,5
31,6
32,2
32,3
33,1
33,2
33,3
33,4
33,5
33,6
34,2
34,3
34,4
34,5
35,1
35,2
35,3
35,4
35,5
35,6
36,1
37,1
37,2
37,3
37,4
38,2
38,3
38,4
38,5
39,2
39,3
39,4
39,5
40,3
40,4
40,5
40,6
41,1
41,3
41,4
42,5
42,6
43,1
43,2
43,3
43,4
43,5
44,1
44,2
45,1
45,2
45,3
45,4
45,5
45,6
46,4
46,5
47,3
47,4
48,1
48,2
48,3
48,4
48,5
48,6
49,3
49,4
49,5
49,6
50,1
50,2
50,3
50,4
50,5
50,6
51,1
51,2
51,3
51,4
51,5
51,6
52,5
53,5
53,6
54,1
54,2
54,3
54,4
54,5
54,6
55,1
55,2
55,3
55,4
55,5
55,6
56,1
56,2
56,3
56,5
57,1
57,2
57,3
57,5
58,3
58,4
58,5
59,5
59,6
60,3
60,4
61,3
61,4
61,5
61,6
62,1
62,2
63,1
63,2
63,3
63,4
63,5
63,6
64,2
64,3
64,4
64,5
64,6
65,2
65,3
65,4
65,5
66,2
66,3
66,4
66,5
67,3
67,4
67,5
68,1
68,2
68,3
68,4
68,5
68,6
69,4
69,5
69,6
70,3
70,4
70,5
71,1
71,2
71,3
71,4
71,5
72,1
72,2
72,3
72,4
72,5
73,1
73,2
73,3
73,4
73,5
73,6
74,2
74,3
74,4
75,3
75,4
75,5
76,1
76,2
76,3
76,4
76,5
76,6
77,1
77,2
77,3
77,4
77,5
77,6
78,1
78,2
78,3
78,4
78,5
78,6
79,2
79,3
79,4
79,5
79,6
80,3
80,4
81,4
82,2
83,1
83,2
83,3
83,4
83,5
84,4
84,5
85,1
85,2
85,3
85,4
85,5
85,6
86,4
87,2
87,3
87,4
87,5
87,6
88,1
88,2
88,3
88,4
88,5
88,6
89,6
90,1
90,2
90,3
90,4
90,5
90,6
91,2
91,3
91,4
91,5
91,6
92,1
92,2
92,3
92,4
92,5
92,6
93,2
93,3
93,4
93,5
93,6
94,1
95,2
96,2
96,3
96,4
96,5
96,6
97,1
97,2
97,3
97,4
98,1
98,2
98,3
98,4
98,5
98,6
99,3
99,4
99,5
99,6
100,2
100,3
100,4
100,5
100,6
101,3
101,4
101,5
101,6
102,2
102,3
102,4
102,5
102,6
103,1
103,2
103,3
103,4
103,5
103,6
104,1
104,2
105,3
105,4
105,5
105,6
106,2
106,3
106,4
107,1
107,2
108,4
109,4
109,5
109,6
110,1
110,2
110,3
110,4
110,5
110,6
111,1
111,2
112,2
112,3
112,4
112,5
113,1
113,2
113,3
113,4
113,5
113,6
114,1
114,2
114,3
114,4
114,5
114,6
115,6
116,1
116,2
116,3
116,4
116,5
117,1
118,1
118,2
118,3
118,4
118,5
118,6
119,3
119,4
119,5
120,1
120,2
120,3
120,4
120,5
121,1
121,2
121,3
122,4
122,5
123,1
123,2
123,3
123,4
123,5
123,6
124,1
124,2
124,3
124,4
124,5
124,6
125,1
125,2
125,3
125,4
125,5
126,5
127,3
127,4
127,5
128,1
128,2
128,3
128,4
128,5
128,6
129,1
129,2
129,3
129,4
129,5
129,6
130,1
130,2
130,3
130,4
130,5
130,6
131,2
131,3
131,4
131,5
131,6
132,3
132,4
132,5
132,6
133,1
133,2
133,3
133,4
133,5
133,6
134,1
134,2
134,3
134,4
135,3
136,1
136,2
136,3
136,4
136,5
137,2
137,3
137,4
137,5
137,6
138,2
138,3
138,4
138,5
138,6
139,1
140,3
140,4
140,5
141,1
141,2
141,3
141,4
141,5
141,6
142,6
143,1
143,2
143,3
143,4
143,5
143,6
144,4
144,5
144,6
145,1
145,2
145,3
145,4
145,5
145,6
146,1
146,2
146,3
146,4
146,5
146,6
147,1
147,2
147,3
147,4
147,5
147,6
148,2
148,3
148,4
148,5
148,6
149,5
150,3
150,4
150,5
150,6
151,1
151,2
151,3
152,1
152,2
152,3
152,4
152,5
152,6
153,1
153,2
153,3
153,4
153,5
153,6
154,1
154,2
154,3
154,4
154,5
154,6
155,1
155,2
155,3
155,4
155,5
155,6
156,1
156,2
156,3
156,4
156,5
156,6
157,1
157,2
157,3
157,4
157,5
157,6
158,1
158,2
158,3
158,4
158,5
158,6
159,1
159,2
159,3
159,4
159,5
159,6
160,2
160,3
161,3
161,4
161,5
162,1
162,2
162,3
162,4
162,5
162,6
163,3
163,4
163,5
163,6
164,1
164,2
164,3
164,4
164,5
164,6
165,1
165,2
165,3
165,4
165,5
165,6
166,1
166,2
166,3
166,4
166,5
166,6
167,3
167,4
167,5
168,1
168,2
168,3
169,1
169,2
169,3
169,4
169,5
169,6
170,2
170,3
170,4
171,3
171,4
171,5
171,6
172,4
172,5
172,6
173,1
173,2
173,3
173,4
173,5
173,6
174,3
174,4
175,1
175,2
175,3
176,1
176,2
176,3
176,4
176,5
176,6
177,2
177,3
177,4
177,5
177,6
178,1
178,2
178,3
178,4
179,2
179,3
179,4
179,5
179,6
180,1
180,2
180,3
180,4
180,5
180,6
181,4
181,5
182,1
182,2
182,3
182,4
183,1
183,2
183,3
183,4
183,5
183,6
184,1
184,2
184,3
184,4
184,5
184,6
185,1
185,2
185,3
185,4
185,5
185,6
186,2
186,3
186,4
186,5
186,6
187,1
187,2
187,3
187,4
187,5
187,6
188,1
188,2
188,3
189,2
190,1
191,1
191,2
191,3
191,4
191,5
191,6
192,1
